PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.0007000000 uM,Activity at 0.00160 uM,Activity at 0.00370 uM,Activity at 0.00820 uM,Activity at 0.018 uM,Activity at 0.041 uM,Activity at 0.092 uM,Activity at 0.205 uM,Activity at 0.457 uM,Activity at 1.022 uM,Activity at 2.286 uM,Activity at 5.112 uM,Activity at 11.43 uM,Activity at 25.56 uM,Activity at 57.14 uM,Compound QC
1809,4239279,3234386,Inactive,0,,,Inactive,,,,,,,,,,4,,-26.69,,,-11.04,,-3.169,,-25.79,,19.29,,36.35,,21.36,,-26.69,QC'd by Pharmacopeia
1810,4239280,3234387,Inactive,0,,,Inactive,,,,,,,,,,4,,-42.75,,,3.15,,10.15,,-7.297,,32.51,,17.55,,-39.69,,-42.75,QC'd by Pharmacopeia
1811,4239281,3234388,Inactive,0,,,Inactive,,,,,,,,,,4,,-18.99,,,-26.96,,0.0326,,-5.163,,-14.25,,2.303,,23.32,,-18.99,QC'd by Pharmacopeia
1812,4239282,3234389,Inactive,0,,,Inactive,,,,,,,,,,4,,-30.01,,,-13.69,,49.17,,-7.896,,35.37,,7.998,,-20.41,,-30.01,QC'd by Pharmacopeia
1813,4239283,3234390,Inactive,0,,,Inactive,,,,,,,,,,4,,-34.11,,,7.894,,13.65,,37.46,,-18.1,,4.606,,-20.93,,-34.11,QC'd by Pharmacopeia
1814,4239284,3234391,Inconclusive,20,,,Inhibitor,39.8107,91.452,,Single point of activity,-4.4,4.9549,0.9185,-90.32,1.132,-3,1 0 0 0 0 0 0,-77.35,,,-26.65,,16.33,,-4.424,,-12.51,,2.558,,2.671,,-77.35,QC'd by Pharmacopeia
1815,4239285,3234392,Active,43,,,Inhibitor,10,103.555,,Partial curve; high efficacy,-5,4.9549,0.9612,-101.302,2.2528,-2.1,0 0 1 0 0 0 0,-97.56,,,8.68,,-2.923,,96.74,,-9.805,,15.08,,-71.31,,-97.56,QC'd by Pharmacopeia
1816,4239286,3234393,Inconclusive,20,,,Inhibitor,,,,Single point of activity,,,,,,-3,,-46.54,,,-25.69,,-22.66,,-11.4,,-19.23,,21.49,,23.69,,-46.54,QC'd by Pharmacopeia
1817,4239287,3234394,Inactive,0,,,Inactive,,,,,,,,,,4,,-15.92,,,-20.91,,21.98,,0.1712,,-22.88,,21.1,,-6.797,,-15.92,QC'd by Pharmacopeia
1818,4239288,3234395,Inactive,0,,,Inactive,,,,,,,,,,4,,9.957,,,25.4,,-5.688,,-1.041,,29.8,,-10.69,,-29.88,,9.957,QC'd by Pharmacopeia
1819,4239289,3234396,Inactive,0,,,Inactive,,,,,,,,,,4,,8.566,,,4.612,,35.68,,-0.3813,,-16.48,,-4.199,,41.38,,8.566,QC'd by Pharmacopeia
1820,4239290,3234397,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.15,,,-14.46,,-6.28,,-19.26,,-0.1943,,8.897,,-3.824,,-41.15,QC'd by Pharmacopeia
1821,4239291,3234398,Inactive,0,,,Inactive,,,,,,,,,,4,,32.37,,,1.004,,1.268,,-1.625,,-7.149,,-16.28,,-19.52,,32.37,QC'd by Pharmacopeia
1822,4239292,3234399,Inconclusive,20,,,Inhibitor,15.8489,101.922,,Partial curve; high efficacy; poor fit,-4.8,2.3332,0.7921,-91.9536,9.9683,-2.3,0 0 0 0 0 0 0,-87.15,,,-10.12,,13.29,,-8.571,,10.51,,45.76,,-23.98,,-87.15,QC'd by Pharmacopeia
1823,4239293,3234400,Active,63,,,Inhibitor,3.9811,82.296,,Complete curve; partial efficacy,-5.4,1.5386,0.9826,-72.796,9.5,-1.2,0 0 0 1 0 0 0,-72.79,,,4.347,,17.73,,4.644,,42.91,,-13.61,,-58.51,,-72.79,QC'd by Pharmacopeia
1824,4239294,3234401,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.867,,,-20.35,,-31.12,,-24.71,,-24.65,,5.446,,2.481,,-7.867,QC'd by Pharmacopeia
1825,4239295,3234402,Inactive,0,,,Inactive,,,,,,,,,,4,,19.59,,,-17.01,,-15.52,,6.347,,1.07,,-0.6434,,-8.307,,19.59,QC'd by Pharmacopeia
1826,4239296,3234403,Inactive,0,,,Inactive,,,,,,,,,,4,,-56.45,,,7.388,,-27,,-46.69,,1.611,,34.78,,-7.673,,-56.45,QC'd by Pharmacopeia
1827,4239297,3234404,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.43,,,14.26,,-11.82,,-16.65,,31.83,,23.81,,44.28,,-41.43,QC'd by Pharmacopeia
1828,4239298,3234405,Inconclusive,20,,,Inhibitor,12.5893,104.779,,Single point of activity,-4.9,3.132,0.8905,-72.5258,32.253,-3,1 0 0 0 0 0 0,-73.36,,,-17.07,,44.02,,21.54,,10.3,,50.69,,-7.947,,-73.36,QC'd by Pharmacopeia
1829,4239299,3234406,Inactive,0,,,Inactive,,,,,,,,,,4,,11.29,,,-11.4,,10.68,,4.77,,-15.8,,1.841,,8.995,,11.29,QC'd by Pharmacopeia
1830,4239300,3234407,Active,85,,,Inhibitor,3.1623,87.2275,,Complete curve; high efficacy,-5.5,1.7885,0.9444,-92.5954,-5.368,-1.1,0 0 0 0 0 0 0,-97.74,,,-5.763,,-15.88,,-10.02,,9.619,,-40.53,,-77.82,,-97.74,QC'd by Pharmacopeia
1831,4239301,3234408,Active,44,,,Inhibitor,3.1623,77.166,,Partial curve; partial efficacy,-5.5,0.8,0.9142,-70.666,6.5,-2.2,0 0 0 1 0 0 0,-62.66,,,-3.487,,22.08,,-5.409,,31.43,,-25.57,,-52.21,,-62.66,QC'd by Pharmacopeia
1832,4239302,3234409,Inactive,0,,,Inactive,,,,,,,,,,4,,-43.82,,,-33.94,,-9.871,,-26.23,,15.58,,-15.28,,-1.086,,-43.82,QC'd by Pharmacopeia
1833,4239303,3234410,Inactive,0,,,Inactive,,,,,,,,,,4,,14.41,,,20.73,,4.964,,5.23,,-34.12,,3.513,,0.1691,,14.41,QC'd by Pharmacopeia
1834,4239304,3234411,Inactive,0,,,Inactive,,,,,,,,,,4,,0.9291,,,96.17,,32.09,,-1.215,,-14.13,,-29.86,,-4.717,,0.9291,QC'd by Pharmacopeia
1835,4239305,3234412,Active,95,,,Inhibitor,0.0251,104.354,,Complete curve; high efficacy,-7.6,1,0.985,-94.7574,9.5969,-1.1,0 0 0 0 0 0 0,-98.01,,,1.021,,-40.52,,-66.13,,-91.06,,-94.82,,-91.51,,-98.01,QC'd by Pharmacopeia
1836,4239306,3234413,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.72,,,6.732,,53.17,,26.72,,-3.832,,-10.17,,-3.69,,-7.72,QC'd by Pharmacopeia
1837,4239307,3234414,Inconclusive,23,,,Inhibitor,2.5119,31.16,,Complete curve; partial efficacy,-5.6,2.2526,0.9671,-48.624,-17.464,-1.2,0 0 1 0 0 0 0,-47.33,,,-15.54,,-21.82,,26.85,,-14.97,,-33.13,,-48.02,,-47.33,QC'd by Pharmacopeia
1838,4239308,3234415,Inconclusive,20,,,Inhibitor,25.1189,66.788,,Single point of activity,-4.6,1.5386,0.9843,-60.288,6.5,-3,1 0 0 0 0 0 0,-45.63,,,181.2,,8.929,,9.69,,2.355,,3.383,,-8.456,,-45.63,QC'd by Pharmacopeia
1839,4239309,3234416,Inconclusive,20,,,Inhibitor,12.5893,97.524,,Partial curve; high efficacy; poor fit,-4.9,0.5,0.6003,-105.655,-8.1311,-2.3,0 0 0 0 1 0 0,-81.27,,,-25.16,,-27.01,,-37.52,,0.0414,,55.05,,-54.9,,-81.27,QC'd by Pharmacopeia
1840,4239310,3234417,Inactive,0,,,Activator,25.1189,96.6076,,Single point of activity,-4.6,3.1925,0.9079,86.5872,-10.0205,3,1 0 0 0 0 0 0,80.03,,,26.57,,10.51,,-7.965,,-22.44,,-19.17,,-2.953,,80.03,QC'd by Pharmacopeia
1841,4239311,3234418,Inactive,0,,,Inactive,,,,,,,,,,4,,-5.194,,,22.16,,3.009,,29.14,,-24.11,,7.794,,13.91,,-5.194,QC'd by Pharmacopeia
1842,4239312,3234419,Active,41,,,Inhibitor,15.8489,99.19,,Partial curve; partial efficacy,-4.8,1,0.8961,-78.5665,20.6235,-2.2,0 0 0 0 0 0 0,-61.41,,,20.96,,11.71,,21.03,,36.08,,-6.016,,-15.42,,-61.41,QC'd by Pharmacopeia
1843,4239313,3234420,Active,87,,,Inhibitor,1.9953,111.664,,Complete curve; high efficacy,-5.7,0.8,0.9842,-109.574,2.0906,-1.1,0 0 0 0 0 0 0,-102.2,,,-3.051,,2.331,,-1.832,,-32.08,,-49.51,,-90.73,,-102.2,QC'd by Pharmacopeia
1844,4239314,3234421,Inactive,0,,,Inactive,,,,,,,,,,4,,17.23,,,8.725,,-45,,64.39,,-6.721,,-21.67,,-13.21,,17.23,QC'd by Pharmacopeia
1845,4239315,3234422,Inactive,0,,,Inactive,,,,,,,,,,4,,-25.37,,,31.77,,-17.09,,-31.29,,3.281,,3.404,,64.36,,-25.37,QC'd by Pharmacopeia
1846,4239316,3234423,Inconclusive,20,,,Inhibitor,12.5893,76.322,,Single point of activity,-4.9,1.4781,0.8566,-55.228,21.094,-3,1 0 0 0 0 0 0,-47.69,,,-11.46,,2.466,,28.63,,36.27,,11.07,,-13.84,,-47.69,QC'd by Pharmacopeia
1847,4239317,3234424,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.6,,,46.75,,16.44,,37.93,,-12.85,,0.8894,,-22.14,,-41.6,QC'd by Pharmacopeia
1848,4239318,3234425,Inactive,0,,,Inactive,,,,,,,,,,4,,-9.161,,,18.45,,-39.85,,-22.14,,89,,-15.83,,-4.168,,-9.161,QC'd by Pharmacopeia
1849,4239319,3234426,Inactive,0,,,Inactive,,,,,,,,,,4,,13.19,,,5.163,,7.251,,-10.09,,16.76,,-11.03,,-18.6,,13.19,QC'd by Pharmacopeia
1850,4239320,3234427,Inconclusive,20,,,Inhibitor,39.8107,70.173,,Single point of activity,-4.4,4.9549,0.8073,-56.6905,13.4825,-3,0 0 0 0 0 0 0,-46.84,,,5.16,,15.18,,-3.504,,15.35,,32.81,,16.04,,-46.84,QC'd by Pharmacopeia
1851,4239321,3234428,Inactive,0,,,Inactive,,,,,,,,,,4,,18.24,,,-16.62,,-42.9,,-31.64,,8.864,,5.167,,-17.25,,18.24,QC'd by Pharmacopeia
1852,4239322,3234429,Inconclusive,20,,,Inhibitor,19.9526,83.3477,,Partial curve; high efficacy; poor fit,-4.7,2.2526,0.7285,-89.2992,-5.9516,-2.3,0 0 1 0 0 0 0,-81.63,,,-27.72,,-17.37,,72.44,,-3.999,,26.58,,-27.34,,-81.63,QC'd by Pharmacopeia
1853,4239323,3234430,Active,85,,,Inhibitor,3.1623,77.24,,Complete curve; high efficacy,-5.5,1.6259,0.9926,-96.312,-19.072,-1.1,0 0 0 0 0 0 0,-96.41,,,-22.12,,-18.82,,-18.8,,-17.21,,-51.15,,-85.78,,-96.41,QC'd by Pharmacopeia
1854,4239324,3234431,Inactive,0,,,Inactive,,,,,,,,,,4,,33.22,,,-23.69,,65.22,,-7.51,,5.182,,-7.715,,-22.83,,33.22,QC'd by Pharmacopeia
1855,4239325,3234432,Inconclusive,20,,,Inhibitor,31.6228,46.2207,,Single point of activity,-4.5,4.9549,0.6048,-56.7213,-10.5006,-3,0 0 0 0 0 1 0,-54.34,,,-35.45,,-16.31,,-14.79,,-7.919,,-4.606,,23.19,,-54.34,QC'd by Pharmacopeia
1856,4239326,3234433,Inconclusive,21,,,Inhibitor,15.8489,48.391,,Partial curve; partial efficacy,-4.8,2.4064,0.9103,-53.7082,-5.3172,-2.2,1 0 0 0 0 0 0,-51.82,,,-16.36,,-6.669,,-14.52,,-9.5,,1.352,,-20.05,,-51.82,QC'd by Pharmacopeia
1857,4239327,3234434,Inactive,0,,,Inactive,,,,,,,,,,4,,-37.32,,,22.62,,-23.83,,23.78,,-1.784,,3.345,,5.518,,-37.32,QC'd by Pharmacopeia
1858,4239328,3234435,Inactive,0,,,Inactive,,,,,,,,,,4,,-40.7,,,39.17,,43.16,,28.53,,-7.842,,18.78,,-22.77,,-40.7,QC'd by Pharmacopeia
1859,4239329,3234436,Inactive,0,,,Inactive,,,,,,,,,,4,,-17.62,,,-1.846,,15.46,,8.18,,-16.22,,28.81,,2.637,,-17.62,QC'd by Pharmacopeia
1860,4239330,3234437,Inconclusive,20,,,Inhibitor,3.1623,52.041,,Complete curve; partial efficacy; poor fit,-5.5,4.9549,0.8043,-44.541,7.5,-1.4,1 0 0 0 0 0 0,-34.3,,,51.03,,-11.08,,9.968,,23.65,,-0.8052,,-54.37,,-34.3,QC'd by Pharmacopeia
1861,4239331,3234438,Inactive,0,,,Activator,39.8107,107.754,,Single point of activity,-4.4,4.9549,0.7571,95.6327,-12.1217,3,1 0 0 0 0 0 0,80.01,,,-40.69,,7.877,,-6.657,,10.73,,-45,,-27.02,,80.01,QC'd by Pharmacopeia
1862,4239332,3234439,Active,41,,,Inhibitor,19.9526,88.448,,Partial curve; high efficacy,-4.7,1.9673,0.9272,-92.319,-3.871,-2.1,0 0 0 0 0 0 0,-82.04,,,-10.01,,-9.93,,-9.901,,-0.7568,,11.67,,-27.9,,-82.04,QC'd by Pharmacopeia
1863,4239333,3234440,Active,93,,,Inhibitor,0.0794,117.096,,Complete curve; high efficacy,-7.1,0.7,0.9843,-97.3662,19.7298,-1.1,0 0 0 0 0 0 0,-97.58,,,12.03,,-19.7,,-35.74,,-75.69,,-83.81,,-93.63,,-97.58,QC'd by Pharmacopeia
1864,4239334,3234441,Active,87,,,Inhibitor,1.2589,99.1867,,Complete curve; high efficacy,-5.9,1.1705,0.9959,-94.6745,4.5123,-1.1,1 0 0 0 0 0 0,-96.38,,,23.72,,3.497,,0.03,,-17.59,,-64.12,,-82.83,,-96.38,QC'd by Pharmacopeia
1865,4239335,3234442,Active,41,,,Inhibitor,12.5893,63.3875,,Partial curve; partial efficacy,-4.9,1.9673,0.8053,-70.8705,-7.483,-2.2,0 0 0 0 0 0 0,-68.01,,,-17.22,,-16.48,,-24.05,,6.82,,-8.051,,-36.21,,-68.01,QC'd by Pharmacopeia
1866,4239336,3234443,Inactive,0,,,Inactive,,,,,,,,,,4,,-22.24,,,37.88,,39.37,,-3.651,,29.98,,14.57,,27.44,,-22.24,QC'd by Pharmacopeia
1867,4239337,3234444,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.98,,,50.68,,34.44,,81.27,,-1.671,,3.521,,-35.5,,-21.98,QC'd by Pharmacopeia
1868,4239338,3234445,Inactive,0,,,Inactive,,,,,,,,,,4,,-41.72,,,-17.75,,46.34,,-3.999,,5.129,,12.39,,-6.557,,-41.72,QC'd by Pharmacopeia
1869,4239339,3234446,Inactive,0,,,Inactive,,,,,,,,,,4,,2.531,,,-3.666,,-3.614,,-14.83,,-8.874,,-1.397,,52.63,,2.531,QC'd by Pharmacopeia
1870,4239340,3234447,Inconclusive,20,,,Inhibitor,12.5893,132.816,,Partial curve; high efficacy; poor fit,-4.9,2.3332,0.7754,-96.18,36.636,-2.3,1 0 0 0 0 0 0,-91.51,,,-17.46,,42.67,,-10.93,,78.89,,35.7,,-24.04,,-91.51,QC'd by Pharmacopeia
1871,4239341,3234448,Inactive,0,,,Inactive,,,,,,,,,,4,,25.51,,,3.078,,-12.21,,26.31,,0.2292,,-16.85,,23.53,,25.51,QC'd by Pharmacopeia
1872,4239342,3234449,Inactive,0,,,Inactive,,,,,,,,,,4,,-8.607,,,13.85,,32.01,,-20.18,,-5.044,,21.2,,37.84,,-8.607,QC'd by Pharmacopeia
1873,4239343,3234450,Active,41,,,Inhibitor,15.8489,87.3515,,Partial curve; high efficacy,-4.8,1.9282,0.9873,-90.2829,-2.9314,-2.1,0 0 1 0 0 0 0,-86.4,,,-7.46,,-1.056,,53.4,,2.914,,-5.856,,-35.77,,-86.4,QC'd by Pharmacopeia
1874,4239344,3234451,Inactive,0,,,Inactive,,,,,,,,,,4,,-33.36,,,10.25,,-8.822,,26.91,,24.03,,-1.266,,31,,-33.36,QC'd by Pharmacopeia
1875,4239345,3234452,Inconclusive,20,,,Inhibitor,25.1189,89.3418,,Single point of activity,-4.6,2.7868,0.848,-77.4014,11.9405,-3,0 0 0 0 0 0 0,-69.26,,,-3.394,,21.88,,1.796,,6.095,,34.57,,1.354,,-69.26,QC'd by Pharmacopeia
1876,4239346,3234453,Inactive,0,,,Inactive,,,,,,,,,,4,,-18.5,,,9.736,,49.95,,-13.98,,8.073,,14.1,,16.8,,-18.5,QC'd by Pharmacopeia
1877,4239347,3234454,Active,41,,,Inhibitor,15.8489,78.8473,,Partial curve; high efficacy,-4.8,1.6266,0.8158,-95.6707,-16.8234,-2.1,0 0 0 0 0 0 0,-85.91,,,-7.484,,-40.08,,-17.66,,-28.44,,-14.66,,-48.74,,-85.91,QC'd by Pharmacopeia
1878,4239348,3234455,Active,41,,,Inhibitor,19.9526,91.92,,Partial curve; partial efficacy,-4.7,1.7885,0.942,-91.566,0.354,-2.2,0 0 0 0 0 0 0,-79.1,,,-3.84,,0.1206,,-11.5,,12.36,,3.199,,-25.94,,-79.1,QC'd by Pharmacopeia
1879,4239349,3234456,Active,42,,,Inhibitor,15.8489,109.112,,Partial curve; high efficacy,-4.8,1.6604,0.8667,-105.909,3.2025,-2.1,0 0 0 0 0 0 0,-95.73,,,-4.636,,32.37,,-13.68,,2.606,,-7.751,,-32.15,,-95.73,QC'd by Pharmacopeia
1880,4239350,3234457,Inactive,0,,,Inactive,,,,,,,,,,4,,-21.65,,,-18.94,,-27.27,,-12.92,,17.12,,-14.75,,12.95,,-21.65,QC'd by Pharmacopeia
1881,4239351,3234458,Active,44,,,Inhibitor,6.3096,106.348,,Partial curve; high efficacy,-5.2,0.9,0.9447,-102.601,3.7471,-2.1,0 0 0 0 0 0 0,-91.3,,,-8.903,,0.2623,,15.76,,0.743,,-34.15,,-58.58,,-91.3,QC'd by Pharmacopeia
1882,4239352,3234459,Inactive,0,,,Inactive,,,,,,,,,,4,,-38.97,,,-31.8,,25.61,,30.31,,1.395,,10.36,,25.48,,-38.97,QC'd by Pharmacopeia
1883,4239353,3234460,Active,42,,,Inhibitor,10,111.78,,Partial curve; partial efficacy,-5,0.5,0.8674,-92.484,19.296,-2.2,0 0 0 0 0 0 0,-69.74,,,18.22,,16.21,,15.72,,-19.25,,-14.52,,-21.66,,-69.74,QC'd by Pharmacopeia
1884,4239354,3234461,Inactive,0,,,Inactive,,,,,,,,,,4,,-32.77,,,2.1,,-24.15,,31.83,,-1.439,,9.481,,0.2227,,-32.77,QC'd by Pharmacopeia
1885,4239355,3234462,Active,45,,,Inhibitor,1.2589,137.053,,Partial curve; partial efficacy,-5.9,0.9,0.9928,-77.6321,59.4209,-2.2,1 0 0 0 0 0 0,-77.49,,,0.5843,,56.04,,46.57,,23.35,,-31.93,,-53.41,,-77.49,QC'd by Pharmacopeia
1886,4239356,3234463,Inactive,0,,,Inactive,,,,,,,,,,4,,-18.74,,,13.04,,9.286,,-19.69,,-2.133,,30.76,,85.98,,-18.74,QC'd by Pharmacopeia
1887,4239357,3234464,Active,85,,,Inhibitor,1.9953,83.0697,,Complete curve; high efficacy,-5.7,1.4641,0.9535,-88.14,-5.0703,-1.1,0 0 0 0 0 0 0,-88.45,,,-14.08,,2.253,,-15.09,,-0.4596,,-53.37,,-80.64,,-88.45,QC'd by Pharmacopeia
1888,4239358,3234465,Inactive,0,,,Inactive,,,,,,,,,,4,,-7.924,,,3.145,,23.68,,-24.98,,20.32,,57.9,,-1.263,,-7.924,QC'd by Pharmacopeia
1889,4239359,3234466,Active,47,,,Inhibitor,1.2589,138.937,,Partial curve; high efficacy,-5.9,0.6,0.9484,-93.5063,45.4311,-2.1,0 0 0 0 0 0 0,-80.79,,,29.13,,56.88,,12.95,,-10.05,,-30.01,,-66.3,,-80.79,QC'd by Pharmacopeia
1890,4239360,3234467,Inactive,0,,,Inactive,,,,,,,,,,4,,-13.32,,,22.54,,-2.82,,-17.63,,-7.788,,-38.93,,-4.076,,-13.32,QC'd by Pharmacopeia
1891,4239361,3234468,Inconclusive,20,,,Inhibitor,25.1189,64.0315,,Single point of activity,-4.6,3.99,0.866,-54.5315,9.5,-3,0 0 1 0 0 0 0,-52.21,,,25.38,,5.658,,154.1,,-4.976,,12.59,,6.948,,-52.21,QC'd by Pharmacopeia
1892,4239362,3234469,Active,42,,,Inhibitor,10,74.9028,,Partial curve; high efficacy,-5,2.2526,0.8774,-83.2903,-8.3875,-2.1,0 1 0 0 0 0 0,-83.32,,,-21.37,,70.94,,-25.84,,0.5546,,-4.781,,-49.54,,-83.32,QC'd by Pharmacopeia
1893,4239363,3234470,Active,86,,,Inhibitor,1.9953,98.5156,,Complete curve; high efficacy,-5.7,0.9,0.9975,-97.7404,0.7753,-1.1,1 0 0 0 0 0 0,-92.19,,,-21.26,,0.0573,,-6.633,,-16.91,,-53.95,,-80.4,,-92.19,QC'd by Pharmacopeia
1894,4239364,3234471,Inconclusive,20,,,Inhibitor,,,,Single point of activity,,,,,,-3,,-46.83,,,2.103,,-34.63,,37.68,,-21.28,,0.8164,,4.083,,-46.83,QC'd by Pharmacopeia
1895,4239365,3234472,Inactive,0,,,Inactive,,,,,,,,,,4,,24.69,,,36.17,,-16.48,,-27.44,,6.982,,-5.041,,21.97,,24.69,QC'd by Pharmacopeia
1896,4239366,3234473,Inconclusive,20,,,Inhibitor,39.8107,58.065,,Single point of activity,-4.4,4.9549,0.6246,-62.396,-4.331,-3,0 1 0 0 0 0 0,-54.08,,,-21.07,,28.81,,-14.43,,-9.187,,-0.0862,,24.23,,-54.08,QC'd by Pharmacopeia
1897,4239367,3234474,Inactive,0,,,Inactive,,,,,,,,,,4,,-31.88,,,4.144,,-2.822,,14.21,,-13.3,,14.35,,-25.4,,-31.88,QC'd by Pharmacopeia
1898,4239368,3234475,Active,86,,,Inhibitor,1.9953,108.909,,Complete curve; high efficacy,-5.7,1.8265,0.9822,-100.471,8.4378,-1.1,0 0 0 0 0 0 0,-100.3,,,-2.403,,9.546,,20.24,,-1.115,,-53.13,,-95.79,,-100.3,QC'd by Pharmacopeia
1899,4239369,3234476,Inconclusive,20,,,Inhibitor,3.9811,82.7187,,Complete curve; high efficacy; poor fit,-5.4,3.2975,0.7811,-93.2579,-10.5392,-1.3,0 1 0 0 0 0 0,-96.83,,,-20.37,,35.65,,-38.86,,27.16,,-21.68,,-87.6,,-96.83,QC'd by Pharmacopeia
1900,4239370,3234477,Inactive,0,,,Inactive,,,,,,,,,,4,,-6.408,,,18.72,,-29.48,,-17.9,,3.242,,-21.37,,39.95,,-6.408,QC'd by Pharmacopeia
1901,4239371,3234478,Inconclusive,21,,,Inhibitor,12.5893,41.6615,,Partial curve; partial efficacy,-4.9,3.132,0.9143,-45.4929,-3.8314,-2.2,0 1 0 0 0 0 0,-45.2,,,-12.84,,35.1,,-3.33,,-2.314,,3.114,,-21.38,,-45.2,QC'd by Pharmacopeia
1902,4239372,3234479,Inconclusive,20,,,Inhibitor,,,,Single point of activity,,,,,,-3,,-45.25,,,-19.94,,-7.312,,-32.01,,51.58,,0.2633,,-14.18,,-45.25,QC'd by Pharmacopeia
1903,4239373,3234480,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.55,,,13.31,,4.799,,-4.205,,-13.14,,23.47,,28.19,,-23.55,QC'd by Pharmacopeia
1904,4239374,3234481,Inactive,0,,,Inactive,,,,,,,,,,4,,1.483,,,58.56,,-17.8,,-15.92,,-2.944,,28.21,,1.251,,1.483,QC'd by Pharmacopeia
1905,4239375,3234482,Inactive,0,,,Inactive,,,,,,,,,,4,,-14.09,,,18.01,,58.56,,7.875,,3.021,,6.992,,13.92,,-14.09,QC'd by Pharmacopeia
1906,4239376,3234483,Inactive,0,,,Inactive,,,,,,,,,,4,,-23.38,,,-40.51,,-37.02,,1.05,,15.37,,16.45,,7.815,,-23.38,QC'd by Pharmacopeia
1907,4239377,3234484,Active,42,,,Inhibitor,15.8489,115.54,,Partial curve; high efficacy,-4.8,0.9,0.9623,-123.43,-7.8902,-2.1,0 0 0 0 0 0 0,-95.45,,,3.452,,-12.04,,-12.49,,-20.77,,-19.03,,-58.93,,-95.45,QC'd by Pharmacopeia
1908,4239378,3234485,Active,87,,,Inhibitor,0.7943,77.7647,,Complete curve; high efficacy,-6.1,1.1,0.954,-87.5903,-9.8255,-1.1,0 0 0 0 1 0 0,-90.8,,,-10.63,,-19.36,,-3.405,,-42.62,,-7.368,,-78.67,,-90.8,QC'd by Pharmacopeia
1909,4239379,3234486,Inactive,0,,,Inactive,,,,,,,,,,4,,0.2591,,,-27.85,,-18.32,,32.37,,-13.28,,12.83,,29.46,,0.2591,QC'd by Pharmacopeia
1910,4239380,3234487,Active,45,,,Inhibitor,2.5119,124.428,,Partial curve; high efficacy,-5.6,1.21,0.9943,-82.1577,42.2703,-2.1,1 0 0 0 0 0 0,-82.66,,,-17.46,,43.52,,34.23,,32.87,,-17.63,,-61.34,,-82.66,QC'd by Pharmacopeia
1911,4239381,3234488,Active,43,,,Inhibitor,6.3096,78.3864,,Partial curve; partial efficacy,-5.2,1.21,0.9752,-87.7402,-9.3538,-2.2,0 1 0 0 0 0 0,-79.34,,,-4.018,,30.28,,-16.8,,-13.34,,-22.24,,-64.11,,-79.34,QC'd by Pharmacopeia
1912,4239382,3234489,Active,43,,,Inhibitor,10,94.656,,Partial curve; high efficacy,-5,1.4641,0.8804,-104.56,-9.9041,-2.1,0 0 0 0 0 0 0,-95.13,,,-22.69,,-19.17,,-27.62,,3.911,,-20.52,,-63.43,,-95.13,QC'd by Pharmacopeia
1913,4239383,3234490,Inconclusive,20,,,Inhibitor,39.8107,57.516,,Single point of activity,-4.4,2.7202,0.8233,-62.8293,-5.3133,-3,1 0 1 0 0 0 0,-47.93,,,-28.07,,5.203,,20.51,,-14.75,,-14.09,,-5.424,,-47.93,QC'd by Pharmacopeia
1914,4239384,3234491,Inactive,0,,,Inactive,,,,,,,,,,4,,-4.321,,,-5.136,,-2.558,,-2.175,,-9.058,,6.287,,33.71,,-4.321,QC'd by Pharmacopeia
1915,4239385,3234492,Active,44,,,Inhibitor,3.9811,101.587,,Partial curve; partial efficacy,-5.4,0.4,0.8086,-92.628,8.9593,-2.2,1 0 0 0 0 0 0,-77.19,,,-28.22,,-3.831,,3.625,,-39.27,,-34.54,,-38.76,,-77.19,QC'd by Pharmacopeia
1916,4239386,3234493,Inactive,0,,,Inactive,,,,,,,,,,4,,9.667,,,-16.74,,-35.07,,12.22,,14.1,,-5.488,,-2.767,,9.667,QC'd by Pharmacopeia
1917,4239387,3234494,Inactive,0,,,Inactive,,,,,,,,,,4,,-33.51,,,-29.77,,20.06,,-11.78,,12.58,,11.71,,21.73,,-33.51,QC'd by Pharmacopeia
1918,4239388,3234495,Active,43,,,Inhibitor,10,102.941,,Partial curve; high efficacy,-5,2.0937,0.9293,-100.597,2.3448,-2.1,0 0 0 0 0 0 0,-97.02,,,8.838,,-4.81,,20.22,,-15.65,,-1.484,,-57.73,,-97.02,QC'd by Pharmacopeia
1919,4239389,3234496,Inactive,0,,,Inactive,,,,,,,,,,4,,6.65,,,-22.49,,-25.11,,-20.12,,19.56,,-17.1,,45.76,,6.65,QC'd by Pharmacopeia
